QUESTION,Grade ,Subject ,CHOICE 1 (Correct),CHOICE 2,CHOICE 3,CHOICE 4,LEARNING TIP,
Add 6 + 2,0,Math,8,9,7,10,Using counters or popsicle sticks make one group of 6 and one group of 2. Count all the sticks for the total.,
Add 7 + 3,0,Math,10,9,8,11,Using counters or popsicle sticks and make one group of 7 and one group of 3. Add the counters/sticks together to get the solution.,
Add 5 + 3,0,Math,8,7,6,9,Using counters or popsicle sticks make one group of 5 and one group of 3. Add all the counters or sticks together to get the total.,
Mary has 2 balls and Bob has 4 balls. How many balls do they have altogether?,0,Math,6,2,8,4,Draw 2 balls and beside draw 4 balls. Count how many balls there are altogether.,
If you went to school with 4 pencils and 2 of your friends asked you for a pencil. How many pencils would you have left?,0,Math,2,6,5,4,Put 4 pencils out on the table. Separate 1 pencil for each friend. Count the number of pencils left.,
Bob went to the store and bought 6 gum balls. On the way home he gave 3 gum balls to his best friend. How many did Bob have when he got home?,0,Math,3,5,2,4,Put 6 marbles on the table. Move 3 marbles aside. How many marbles are left?,
What numbers come between 27 and 30?,0,Math,28 and 29,22 and 23,25 and 23,26 and 27,Create a number line from 1 - 50. Mark 27 and 30. Record the numbers between the two that are marked on the number line.,
What numbers come between 60 and 66?,0,Math,61 62 63 64 65,60 61 62 63 64,66 67 68 69 70,60 61 62 63 64 65 66,Create a number line from 1 - 100. Mark the number 60 and the number 66. Record the numbers between the two that are marked on the number line.,
What numbers come between 83 and 88?,0,Math,84 85 86 87,83 84 85 86 87,84 85 86 87 88,83 83 84 85 87,Create a number line from 1 - 100. Mark the number 83 and the number 88. Record the numbers between the two that are marked not he number line.,
Two birds are sitting on the fence. Three more birds flew in to sit on the fence as well. How many birds in total are sitting on the fence?,0,Math,5,4,2,7,Draw 2 birds on a fence. Add 3 more birds to the fence. Count how many birds are now on the fence.,
Mary likes to skip. She skips 5 times in a row. Her friend Sasha likes to skip as well. She skips 7 times. How many more skips does Sasha take?,0,Math,2,6,3,4,Write a short line for each skip that Mary takes. Below that write a short line for each skip that Sasha takes. Count the number of lines more in Sasha's group than Mary's.,
