Question,Grade,Subject,Correct Answer,Wrong Answers,,,Learning Tip
0x0?,0,Math,0,4,5,7,Use your fingers to count!
0x0?,0,Math,0,4,5,7,Use your fingers to count!
0x0?,0,Math,0,4,5,7,Use your fingers to count!
0x0?,0,Math,0,4,5,7,Use your fingers to count!
0x0?,0,Math,0,4,5,7,Use your fingers to count!
0x0?,0,Math,0,4,5,7,Use your fingers to count!
0x0?,0,Math,0,4,5,7,Use your fingers to count!
0x0?,0,Math,0,4,5,7,Use your fingers to count!
0x0?,0,Math,0,4,5,7,Use your fingers to count!
0x0?,0,Math,0,4,5,7,Use your fingers to count!
1x1?,1,Math,1,6,7,12,Use a Number Line
1x1?,1,Math,1,6,7,12,Use a Number Line
1x1?,1,Math,1,6,7,12,Use a Number Line
1x1?,1,Math,1,6,7,12,Use a Number Line
1x1?,1,Math,1,6,7,12,Use a Number Line
1x1?,1,Math,1,6,7,12,Use a Number Line
1x1?,1,Math,1,6,7,12,Use a Number Line
1x1?,1,Math,1,6,7,12,Use a Number Line
1x1?,1,Math,1,6,7,12,Use a Number Line
1x1?,1,Math,1,6,7,12,Use a Number Line
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
2x2?,2,Math,4,12,8,10,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
3 x 3?,3,Math,9,20,10,15,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
4x4?,4,Math,16,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
5x5?,5,Math,25,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
6x6?,6,Math,36,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
7x7?,7,Math,49,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
8x8?,8,Math,64,1,2,3,Multiply Better
